name	methane	ethane	propane	butane	pentane	hexane	cyclohexane	benzene	toluene	ethylbenzene	styrene	phenol	aniline	naphthalene	anthracene	acetic_acid	ethanol	methanol	acetone	methylamine	pyridine	pyrimidine	pyrazine	imidazole	thiophene	furan	indole	benzimidazole	purine	quinoline	isoquinoline	pyrrole	oxazole	thiazole	pyrazole	triazole_1H	tetrazole	aspirin	ibuprofen	paracetamol	caffeine	morphine	codeine	warfarin	lidocaine	diazepam	metformin	atorvastatin	methotrexate	sildenafil
caffeine	0.000000	0.038462	0.035714	0.034483	0.032258	0.032258	0.000000	0.037037	0.090909	0.114286	0.054054	0.058824	0.058824	0.064516	0.060606	0.066667	0.033333	0.037037	0.068966	0.037037	0.062500	0.062500	0.068966	0.085714	0.031250	0.031250	0.050000	0.100000	0.095238	0.105263	0.076923	0.064516	0.055556	0.055556	0.055556	0.096774	0.055556	0.088889	0.086957	0.097561	1.000000	0.087719	0.084746	0.063830	0.102041	0.145455	0.024390	0.075000	0.077922	0.146667
morphine	0.000000	0.026316	0.025000	0.024390	0.023256	0.023256	0.025641	0.025641	0.090909	0.085106	0.062500	0.116279	0.066667	0.071429	0.068182	0.047619	0.048780	0.052632	0.048780	0.025641	0.022222	0.022222	0.023810	0.041667	0.022727	0.046512	0.080000	0.056604	0.035714	0.058824	0.058824	0.046512	0.041667	0.041667	0.041667	0.022222	0.041667	0.089286	0.087719	0.117647	0.087719	1.000000	0.688889	0.068966	0.081967	0.102941	0.038462	0.076923	0.067416	0.101124
codeine	0.000000	0.025000	0.023810	0.023256	0.022222	0.022222	0.024390	0.024390	0.086957	0.081633	0.060000	0.063830	0.063830	0.068182	0.065217	0.022222	0.022727	0.024390	0.022727	0.024390	0.021277	0.021277	0.022727	0.040000	0.021739	0.044444	0.076923	0.054545	0.034483	0.056604	0.056604	0.044444	0.040000	0.040000	0.061224	0.021277	0.019608	0.105263	0.066667	0.072727	0.084746	0.688889	1.000000	0.049180	0.062500	0.100000	0.018182	0.063830	0.054348	0.136364
warfarin	0.000000	0.000000	0.035714	0.034483	0.066667	0.066667	0.000000	0.076923	0.125000	0.147059	0.114286	0.161290	0.125000	0.100000	0.093750	0.142857	0.068966	0.037037	0.107143	0.000000	0.062500	0.030303	0.033333	0.027027	0.031250	0.031250	0.076923	0.073171	0.045455	0.076923	0.076923	0.064516	0.027027	0.027027	0.027027	0.062500	0.055556	0.166667	0.190476	0.153846	0.063830	0.068966	0.049180	1.000000	0.148936	0.166667	0.050000	0.131579	0.185714	0.061728
lidocaine	0.000000	0.033333	0.100000	0.096774	0.090909	0.090909	0.000000	0.066667	0.176471	0.194444	0.102564	0.142857	0.111111	0.121212	0.114286	0.125000	0.129032	0.066667	0.129032	0.032258	0.055556	0.055556	0.029412	0.024390	0.057143	0.057143	0.095238	0.090909	0.041667	0.095238	0.095238	0.088235	0.050000	0.024390	0.050000	0.055556	0.050000	0.177778	0.173913	0.225000	0.102041	0.081967	0.062500	0.148936	1.000000	0.116667	0.095238	0.139241	0.129870	0.097561
diazepam	0.000000	0.025641	0.024390	0.023810	0.022727	0.022727	0.025000	0.078947	0.166667	0.155556	0.130435	0.139535	0.139535	0.121951	0.142857	0.071429	0.023256	0.025000	0.047619	0.025000	0.093023	0.068182	0.047619	0.062500	0.045455	0.045455	0.122449	0.117647	0.053571	0.122449	0.122449	0.069767	0.062500	0.040816	0.062500	0.068182	0.040816	0.148148	0.105263	0.115385	0.145455	0.102941	0.100000	0.166667	0.116667	1.000000	0.037736	0.112360	0.116279	0.137931
metformin	0.000000	0.055556	0.050000	0.047619	0.043478	0.043478	0.000000	0.000000	0.037037	0.033333	0.000000	0.037037	0.037037	0.000000	0.000000	0.090909	0.095238	0.111111	0.095238	0.111111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.040000	0.071429	0.051282	0.050000	0.088235	0.024390	0.038462	0.018182	0.050000	0.095238	0.037736	1.000000	0.040000	0.086957	0.012987
atorvastatin	0.000000	0.016129	0.031746	0.031250	0.030303	0.030303	0.000000	0.049180	0.107692	0.119403	0.102941	0.107692	0.090909	0.095238	0.075758	0.079365	0.063492	0.032258	0.063492	0.032258	0.044776	0.044776	0.015152	0.013699	0.029851	0.029851	0.068493	0.081081	0.025000	0.083333	0.083333	0.045455	0.027778	0.013699	0.027778	0.029412	0.027778	0.148649	0.146667	0.125000	0.075000	0.076923	0.063830	0.131579	0.139241	0.112360	0.040000	1.000000	0.133333	0.070175
methotrexate	0.000000	0.016949	0.033333	0.032787	0.031746	0.031746	0.000000	0.033898	0.078125	0.090909	0.058824	0.078125	0.095238	0.064516	0.062500	0.083333	0.049180	0.033898	0.066667	0.033898	0.046875	0.030769	0.032258	0.028986	0.015385	0.031250	0.056338	0.069444	0.082192	0.086957	0.086957	0.031250	0.028986	0.028986	0.028986	0.046875	0.044118	0.108108	0.169014	0.114286	0.077922	0.067416	0.054348	0.185714	0.129870	0.116279	0.086957	0.133333	1.000000	0.091743
sildenafil	0.000000	0.016129	0.048387	0.064516	0.062500	0.062500	0.015873	0.015873	0.058824	0.086957	0.041667	0.043478	0.043478	0.061538	0.075758	0.030303	0.046875	0.015873	0.030769	0.015873	0.029412	0.029412	0.030769	0.057143	0.029851	0.014706	0.098592	0.095890	0.064935	0.083333	0.068493	0.061538	0.027778	0.042254	0.057143	0.060606	0.042254	0.103896	0.075000	0.065789	0.146667	0.101124	0.136364	0.061728	0.097561	0.137931	0.012987	0.070175	0.091743	1.000000
