name	rdMW	chMW	rdLogP	chLogP	rdTPSA	chTPSA	rdHAC	chHAC	rdHBD	chHBD	rdHBA	chHBA
pyrimidine	80.0900	80.0900	0.4766	1.1016	25.7800	25.7800	6	6	0	0	2	2
pyrazine	80.0900	80.0900	0.4766	1.1016	25.7800	25.7800	6	6	0	0	2	2
imidazole	68.0790	68.0790	0.4097	0.9575	28.6800	26.8600	5	5	1	1	1	2
thiophene	84.1430	84.1410	1.7481	0.5764	28.2400	28.2400	5	5	0	0	1	0
furan	68.0750	68.0750	1.2796	0.4576	13.1400	13.1400	5	5	0	0	1	1
indole	117.1510	117.1510	2.1679	1.4154	15.7900	13.9700	9	9	1	1	0	1
benzimidazole	118.1390	118.1390	1.5629	1.5339	28.6800	26.8600	9	9	1	1	1	2
purine	120.1150	120.1150	0.3529	1.7709	54.4600	52.6400	9	9	1	1	3	4
quinoline	129.1620	129.1620	2.2348	1.5595	12.8900	12.8900	10	10	0	0	1	1
isoquinoline	129.1620	129.1620	2.2348	1.5595	12.8900	12.8900	10	10	0	0	1	1
pyrrole	67.0910	67.0910	1.0147	0.8390	15.7900	13.9700	5	5	1	1	0	1
oxazole	69.0630	69.0630	0.6746	0.5761	26.0300	26.0300	5	5	0	0	2	2
thiazole	85.1310	85.1290	1.1431	0.6949	41.1300	41.1300	5	5	0	0	2	1
pyrazole	68.0790	68.0790	0.4097	0.9575	28.6800	26.8600	5	5	1	1	1	2
triazole_1H	69.0670	69.0670	-0.1953	1.0760	41.5700	39.7500	5	5	1	1	2	3
tetrazole	70.0550	70.0550	-0.8003	1.1945	54.4600	52.6400	5	5	1	1	3	4
aspirin	180.1590	180.1590	1.3101	0.9674	63.6000	63.6000	13	13	1	1	3	4
ibuprofen	206.2850	206.2850	3.0732	0.1537	37.3000	37.3000	15	15	1	1	1	2
paracetamol	151.1650	151.1650	1.3506	0.3532	49.3300	49.3300	11	11	2	2	2	3
caffeine	194.1940	194.1940	-1.0293	1.8173	61.8200	85.7000	14	14	0	0	6	6
morphine	215.2520	215.2520	2.2235	-2.4450	36.6100	32.7000	16	16	1	1	3	3
codeine	229.2790	229.2790	2.5265	-2.5330	25.6100	21.7000	17	17	0	0	3	3
warfarin	226.6590	226.6590	2.7776	1.1934	54.3700	54.3700	15	15	1	1	2	3
